mode,scope,formation,n,avg_points,hit_count,hit_rate,manshu_hit_count,manshu_hit_rate,manshu_capture_rate,target_arare_hit_count,target_arare_hit_rate,target_arare_capture_rate,avg_hit_payout_yen,median_hit_payout_yen,max_hit_payout_yen,reference_return_rate_100yen_each
morning,all,A,20947,24.0,5709,0.2725449945099537,814,0.03885997994939609,0.2358053302433372,1737,0.0829235690074951,0.2747113711845643,5860.78647749168,2680,237130,0.6655533409716586
morning,all,B,20947,18.0,3952,0.18866663484031126,619,0.029550770993459683,0.17931633835457705,1275,0.06086790471189192,0.2016447888660446,6321.64979757085,2800.0,222920,0.6626024410814596
morning,all,C,20947,12.0,3210,0.15324390127464554,387,0.018475199312550723,0.11210892236384705,885,0.042249486800019095,0.13996520638937213,5328.601246105919,2430.0,222920,0.6804797027418406
morning,all,D,20947,9.0,2534,0.12097197689406598,318,0.015181171528142455,0.0921205098493627,691,0.03298801737719005,0.10928356792661711,5293.366219415943,2555.0,237130,0.7114988622077942
morning,skip_excluded,A,13028,24.0,3676,0.2821614983113294,516,0.03960700030703101,0.24055944055944056,1124,0.08627571384709856,0.2847732455029136,5667.7040261153425,2770.0,222920,0.6663366083307748
morning,skip_excluded,B,13028,18.0,2562,0.19665336198956093,399,0.030626343260669327,0.18601398601398603,830,0.06370893460239484,0.21028629338738283,6143.67681498829,2865.0,222920,0.6712081670248695
morning,skip_excluded,C,13028,12.0,2092,0.1605772182990482,250,0.019189438133251458,0.11655011655011654,572,0.04390543444887934,0.14492019255130478,5219.933078393881,2440.0,222920,0.6985019445297308
morning,skip_excluded,D,13028,9.0,1646,0.1263432606693276,200,0.015351550506601168,0.09324009324009325,452,0.034694504144918634,0.11451735495312895,5168.329283110571,2665.0,222920,0.725537304267731
morning,chaos_top3_per_day,A,429,24.0,95,0.22144522144522144,25,0.05827505827505827,0.21551724137931033,46,0.10722610722610723,0.21495327102803738,8296.947368421053,4820,44890,0.7655497280497281
morning,chaos_top3_per_day,B,429,18.0,62,0.1445221445221445,18,0.04195804195804196,0.15517241379310345,33,0.07692307692307693,0.1542056074766355,9714.193548387097,5535.0,44890,0.77995337995338
morning,chaos_top3_per_day,C,429,12.0,47,0.10955710955710955,16,0.037296037296037296,0.13793103448275862,26,0.06060606060606061,0.12149532710280374,11023.829787234043,6260,44890,1.0064491064491063
morning,chaos_top3_per_day,D,429,9.0,41,0.09557109557109557,11,0.02564102564102564,0.09482758620689655,18,0.04195804195804196,0.08411214953271028,8041.219512195122,4650,41530,0.8538979538979539
morning,chaos_top5_per_day,A,715,24.0,167,0.23356643356643356,33,0.046153846153846156,0.20245398773006135,74,0.1034965034965035,0.22424242424242424,7548.922155688623,4250,84110,0.7346561771561771
morning,chaos_top5_per_day,B,715,18.0,109,0.15244755244755245,25,0.03496503496503497,0.15337423312883436,54,0.07552447552447553,0.16363636363636364,8963.944954128441,4890,84110,0.7591841491841492
morning,chaos_top5_per_day,C,715,12.0,82,0.11468531468531469,20,0.027972027972027972,0.12269938650306748,42,0.05874125874125874,0.12727272727272726,8925.975609756097,5285.0,44890,0.8530652680652681
morning,chaos_top5_per_day,D,715,9.0,77,0.1076923076923077,14,0.019580419580419582,0.08588957055214724,30,0.04195804195804196,0.09090909090909091,6768.961038961039,4060,44420,0.80996114996115
morning,chaos_top10_per_day,A,1430,24.0,340,0.23776223776223776,58,0.04055944055944056,0.19141914191419143,142,0.0993006993006993,0.2294022617124394,7334.205882352941,4035.0,179250,0.7265821678321678
morning,chaos_top10_per_day,B,1430,18.0,225,0.15734265734265734,45,0.03146853146853147,0.1485148514851485,109,0.07622377622377623,0.17609046849757673,8657.733333333334,4790,179250,0.7567948717948718
morning,chaos_top10_per_day,C,1430,12.0,175,0.12237762237762238,30,0.02097902097902098,0.09900990099009901,81,0.056643356643356645,0.1308562197092084,8053.142857142857,4490,179250,0.8212703962703962
morning,chaos_top10_per_day,D,1430,9.0,155,0.10839160839160839,20,0.013986013986013986,0.066006600660066,56,0.039160839160839164,0.09046849757673667,5740.774193548387,3730,44420,0.6913908313908314
morning,existing_top10_per_day,A,450,24.0,93,0.20666666666666667,22,0.04888888888888889,0.1732283464566929,49,0.10888888888888888,0.2076271186440678,7993.118279569892,5440,44720,0.6882962962962963
morning,existing_top10_per_day,B,450,18.0,67,0.14888888888888888,17,0.03777777777777778,0.13385826771653545,36,0.08,0.15254237288135594,8383.880597014926,5440,44720,0.6934814814814815
morning,existing_top10_per_day,C,450,12.0,51,0.11333333333333333,12,0.02666666666666667,0.09448818897637795,23,0.051111111111111114,0.09745762711864407,8230.588235294117,4130,44720,0.7773333333333333
morning,existing_top10_per_day,D,450,9.0,39,0.08666666666666667,9,0.02,0.07086614173228346,19,0.042222222222222223,0.08050847457627118,7813.333333333333,4790,32310,0.7523950617283951
preview,all,A,20947,24.0,6772,0.32329211820308396,789,0.03766649162171194,0.22856315179606027,1749,0.0834964434047835,0.2766092044915388,5031.643532191376,2200.0,237130,0.6777877898187489
preview,all,B,20947,18.0,4574,0.21836062443309304,593,0.028309543132668164,0.17178447276940903,1252,0.059769895450422494,0.19800727502767673,5509.083952776563,2310.0,237130,0.6683150066570127
preview,all,C,20947,12.0,3631,0.1733422447128467,395,0.018857115577409652,0.11442641946697567,868,0.04143791473719387,0.13727660920449153,4869.008537592949,2060,237130,0.7033373911936475
preview,all,D,20947,9.0,3016,0.1439824318518165,287,0.013701246001814103,0.08314020857473928,711,0.03394280803933738,0.11244662343824134,4573.222811671088,2150.0,237130,0.7316263798051166
preview,skip_excluded,A,14314,24.0,4743,0.331353919239905,527,0.03681710213776722,0.22559931506849315,1218,0.08509151879279027,0.2838499184339315,4778.690702087287,2210,222920,0.6597657887382982
preview,skip_excluded,B,14314,18.0,3199,0.22348749476037447,402,0.028084392902053935,0.1720890410958904,877,0.06126868799776443,0.20438126310883245,5240.118787120975,2310,222920,0.6506116777669104
preview,skip_excluded,C,14314,12.0,2525,0.1764007265614084,264,0.018443481905826464,0.11301369863013698,603,0.0421265893530809,0.14052668375670008,4600.423762376237,2040,222920,0.676265078477947
preview,skip_excluded,D,14314,9.0,2127,0.14859578035489732,196,0.013692888081598435,0.0839041095890411,505,0.035280145312281685,0.11768818457236076,4400.9732016925245,2180,222920,0.7266289413627683
preview,chaos_top3_per_day,A,429,24.0,105,0.24475524475524477,22,0.05128205128205128,0.1896551724137931,48,0.11188811188811189,0.22429906542056074,6701.428571428572,4330,38580,0.683420745920746
preview,chaos_top3_per_day,B,429,18.0,64,0.14918414918414918,14,0.03263403263403263,0.1206896551724138,34,0.07925407925407925,0.1588785046728972,7568.28125,5445.0,38580,0.6272597772597772
preview,chaos_top3_per_day,C,429,12.0,51,0.11888111888111888,11,0.02564102564102564,0.09482758620689655,26,0.06060606060606061,0.12149532710280374,7409.019607843137,5150,38580,0.733993783993784
preview,chaos_top3_per_day,D,429,9.0,47,0.10955710955710955,12,0.027972027972027972,0.10344827586206896,22,0.05128205128205128,0.102803738317757,7930.63829787234,4650,38580,0.9653975653975654
preview,chaos_top5_per_day,A,715,24.0,172,0.24055944055944056,31,0.043356643356643354,0.1901840490797546,71,0.0993006993006993,0.21515151515151515,6675.058139534884,4120.0,49180,0.6690617715617716
preview,chaos_top5_per_day,B,715,18.0,101,0.14125874125874127,20,0.027972027972027972,0.12269938650306748,46,0.06433566433566433,0.1393939393939394,7353.663366336634,4370,49180,0.5770940170940171
preview,chaos_top5_per_day,C,715,12.0,76,0.1062937062937063,16,0.022377622377622378,0.09815950920245399,35,0.04895104895104895,0.10606060606060606,7512.894736842105,4720.0,49180,0.6654778554778554
preview,chaos_top5_per_day,D,715,9.0,82,0.11468531468531469,15,0.02097902097902098,0.09202453987730061,32,0.044755244755244755,0.09696969696969697,6407.4390243902435,4030.0,38580,0.8164879564879565
preview,chaos_top10_per_day,A,1430,24.0,332,0.23216783216783216,55,0.038461538461538464,0.18151815181518152,126,0.08811188811188811,0.2035541195476575,6423.94578313253,3630.0,62300,0.6214306526806527
preview,chaos_top10_per_day,B,1430,18.0,209,0.14615384615384616,41,0.028671328671328673,0.1353135313531353,90,0.06293706293706294,0.14539579967689822,7388.660287081339,4130,62300,0.599933954933955
preview,chaos_top10_per_day,C,1430,12.0,157,0.10979020979020979,28,0.019580419580419582,0.0924092409240924,63,0.044055944055944055,0.10177705977382875,6793.12101910828,3730,62300,0.6215151515151515
preview,chaos_top10_per_day,D,1430,9.0,160,0.11188811188811189,22,0.015384615384615385,0.07260726072607261,54,0.03776223776223776,0.08723747980613894,5426.0625,3230.0,38580,0.6745687645687646
preview,existing_top10_per_day,A,450,24.0,101,0.22444444444444445,20,0.044444444444444446,0.15748031496062992,50,0.1111111111111111,0.211864406779661,6998.910891089109,4790,37890,0.6545277777777778
preview,existing_top10_per_day,B,450,18.0,70,0.15555555555555556,16,0.035555555555555556,0.12598425196850394,37,0.08222222222222222,0.15677966101694915,7818.285714285715,5595.0,37890,0.6756543209876543
preview,existing_top10_per_day,C,450,12.0,50,0.1111111111111111,12,0.02666666666666667,0.09448818897637795,24,0.05333333333333334,0.1016949152542373,8036.6,4520.0,37890,0.7441296296296296
preview,existing_top10_per_day,D,450,9.0,38,0.08444444444444445,7,0.015555555555555555,0.05511811023622047,14,0.03111111111111111,0.059322033898305086,6446.0526315789475,3415.0,32310,0.6048148148148148
